Claimant,Amount,Bonus,Bonus Amount,81958,
0x4335793db316340f9fa92cd69e903452a4590006,36003.60477,6010.791771,Claim Sum,490914.2676,81958
0x063b6f85322d4783de7e3009fa3af2c3d970fe45,33227.51627,5547.32457,Bonus multiplier,0.166949721,0.166949721
0x00f30da49c6dde3364ac802b9b318a872996995b,30000,5008.49163,,,
0x09ab717bdf923c628df47a3699af94cd10773b56,23300.014,3889.930836,,,
0x2712027f79419c992c66cdddd56082163f400b12,19955.59919,3331.581717,,,
0x9ca9265f3ef8673d0d966a91248790d88db71e9d,17215.20655,2874.07393,,,
0x2d55a5781e9972650fa4f7fc90a6250609e23333,13777.53077,2300.154918,,,
0x0b988d78d6c3c30d1b4e017bde04502a40d58948,12466.89437,2081.344537,,,
0x670ecc92987b0b85b6ad2ba9c7ac78b4199cd463,12107.964,2021.421212,,,
0xf0b33ceafab33f5e00a86d74165e21e7b8a75fca,8205.803332,1369.956577,,,
0xc6b3d5bc8562d531cf3e963f1083097ce3cec4bc,6360,1061.800225,,,
0x88ca2858afca552739c5ceee7a8f4c240a564ac7,6056.221665,1011.084517,,,
0xf6037df487163d21002f88cf597ffc5fddbb5d6d,6000,1001.698326,,,
0x7d897c6cd19177dc94317a0ebd28b11731f0cc2b,5417.2917,904.4153378,,,
0x9a08c2e2af0e5665572c5ae494c0eaf47e444748,5350.320408,893.2344993,,,
0xb7c3b6c72b2a7d014ca1311f93aa3bc6b34f93f9,5175.553831,864.057268,,,
0x09f7f0f6cadc7dfa47d8576e41cc926b4bd19935,4800,801.3586607,,,
0x3df4e5416b90875b3bdbf7f01be6d91dd4a3eb16,4599.575661,767.8978733,,,
0x99f900f51808972921c0749efa3cb343847572a6,4241.34733,708.0917533,,,
0x9e773d536af3c044193450a56d9c6cf39d4807ce,4010.037369,669.4746199,,,
0xed95dbbc066fd0a28038145f58f2c5944a185a69,3602.003312,601.3534479,,,
0x9744be6424e3d4f749740fd7ac2393dc735585db,3010.2696,502.5636698,,,
0x64e3e0110ff5d24297696e05fbd6f1d0c261f8dc,3000,500.849163,,,
0x7ca06771a89fd9825e44335dd6d440a188fbb077,2991.635382,499.4526923,,,
0x57c44cd3261dd0d8d36a1b0747dba169c97557fb,2960.732,494.2933813,,,
0xf5c6501fb33ee59b5a732fa6e2d400fb2fe32292,2953.2,493.035916,,,
0x6cad23944cafa6c0823142b138638e2b86da0d7a,2715.8736,453.4143398,,,
0x3b46c9db90882d672e0a8f5a158afe69bab81033,2638.314415,440.4658555,,,
