Week,Start Time,VRF #,Conversion,Time stamp,TXID
1,1611640801,29591,165544,1611806345,https://rinkeby.etherscan.io/tx/0x2524b5a64a536243dab6d2ea895f80dfa335a698397e6096095fba1e5d02c721#eventlog
2,1612200241,54310,303832,1612504073,https://rinkeby.etherscan.io/tx/0x8895499262a883aec238b1e62cb92a7e98733028e3606ae8d5bc7129d5382190#eventlog
3,1612759681,87554,489812,1613249493,https://rinkeby.etherscan.io/tx/0x16e23edf5fcd2ecc3a17ebd3ffb5ddc255afa7e9a166749d190c4a4be6cf72cc#eventlog
4,1613319081,12701,71054,1613390135,https://rinkeby.etherscan.io/tx/0x3dedf97887576015d9dcc9935afb4e35bd530a5067eb5206cc479ee3f91ade04#eventlog
5,1613878481,50333,281583,1614160064,https://rinkeby.etherscan.io/tx/0xa581c818f0e4209ebe3ae8d77956ae9e720c258ffe3e93ccb5dc85acfc6392c0#eventlog
6,1614437881,76325,426993,1614864874,https://rinkeby.etherscan.io/tx/0x9970bda45d6fac07e7e172f40b26a4979d89ced16fc57030f064ed99b69f56a2#eventlog
7,1614997281,58839,329169,1615326450,https://rinkeby.etherscan.io/tx/0x962b2e73e9b04069a4061601a4300218a49fdff4280d0ef7b752cf6fb62600e7#eventlog
8,1615556681,64087,358528,1615915209,https://rinkeby.etherscan.io/tx/0x1c9b6cc33f3319d11ed4a756bc6688f4495b5a9881a456e2dfe46809e1e881d7#eventlog
9,1616116081,36870,206266,1616322347,https://rinkeby.etherscan.io/tx/0xa96a5f82e66b077b818e629b3ef9562bd48d7cd98ffaf62e0afd65d60370f446#eventlog
10,1616675481,81524,456078,1617131559,https://rinkeby.etherscan.io/tx/0x332f74f2aefcae0c7624d38d507a58387ef7e8e7f87ee5a6066dccee2446ddae#eventlog
,,,5.5944,,
