Snapshot,Week 1,Snapshot,Week 2,Snapshot,Week 3,Snapshot,Week 4,Snapshot,Week 5,Snapshot,Week 6,Snapshot,Week 7,Snapshot,Week 8,Snapshot,Week 9,Snapshot,Week 10,Address,Cumulative,,Row Labels,Sum of Cumulative,,Address,Total Weight
0x02d7bd2cb46d139d830276a1dde94b412d51293a,3509.477544,0x029dea82749e8135249d1d86739afd9d77b6fe58,1000,0x029dea82749e8135249d1d86739afd9d77b6fe58,4500,0x029dea82749e8135249d1d86739afd9d77b6fe58,4500,0x029dea82749e8135249d1d86739afd9d77b6fe58,4500,0x00bd08771c41b0f6c4b7c0079568316911c3cfdd,4207.371,0x00bd08771c41b0f6c4b7c0079568316911c3cfdd,4207.371,0x00bd08771c41b0f6c4b7c0079568316911c3cfdd,4207.371,0x00bd08771c41b0f6c4b7c0079568316911c3cfdd,8961.762,0x00bd08771c41b0f6c4b7c0079568316911c3cfdd,8961.762,0x02d7bd2cb46d139d830276a1dde94b412d51293a,3509.477544,,0x00bd08771c41b0f6c4b7c0079568316911c3cfdd,30545.637,,0xc978eca42e1dd89512cac98ceca5e7ae12f60df9,273360.042
0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x02d7bd2cb46d139d830276a1dde94b412d51293a,3509.477544,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x029dea82749e8135249d1d86739afd9d77b6fe58,5555,0x00d93eb0f641ab58843f95758d568eb357a5f18a,1003.507,0x00d93eb0f641ab58843f95758d568eb357a5f18a,2182.397,0x00d93eb0f641ab58843f95758d568eb357a5f18a,2182.397,0x00d93eb0f641ab58843f95758d568eb357a5f18a,2611.397,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,,0x00d93eb0f641ab58843f95758d568eb357a5f18a,7979.698,,0x821acf4602b9d57da21dee0c3db45e71143c0b45,243706.8855
0x08d159f35449cc667628ac62334c5c694b38e40d,724.993118,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x029dea82749e8135249d1d86739afd9d77b6fe58,7777,0x029dea82749e8135249d1d86739afd9d77b6fe58,7777,0x01f43986e1be891bb01d04c9e07d35bb3111f00f,0,0x01f43986e1be891bb01d04c9e07d35bb3111f00f,0,0x08d159f35449cc667628ac62334c5c694b38e40d,724.993118,,0x01f43986e1be891bb01d04c9e07d35bb3111f00f,0,,0x15b458f7af474220ca05f34c22667dc70fde017e,218013.2172
0x0a3b67b88adf575654e071cf9c3e8065fc365967,2700,0x08d159f35449cc667628ac62334c5c694b38e40d,724.993118,0x08d159f35449cc667628ac62334c5c694b38e40d,724.993118,0x08d159f35449cc667628ac62334c5c694b38e40d,724.993118,0x08d159f35449cc667628ac62334c5c694b38e40d,1242.341967,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x029dea82749e8135249d1d86739afd9d77b6fe58,7777,0x029dea82749e8135249d1d86739afd9d77b6fe58,7777,0x0a3b67b88adf575654e071cf9c3e8065fc365967,2700,,0x029dea82749e8135249d1d86739afd9d77b6fe58,51163,,0x2d55a5781e9972650fa4f7fc90a6250609e23333,194577.0064
0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x0a3b67b88adf575654e071cf9c3e8065fc365967,2700,0x0a3b67b88adf575654e071cf9c3e8065fc365967,5000,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,718.722,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,1174.978,0x08d159f35449cc667628ac62334c5c694b38e40d,1242.341967,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x02d7bd2cb46d139d830276a1dde94b412d51293a,0,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,,0x02d7bd2cb46d139d830276a1dde94b412d51293a,7018.955088,,0x4335793db316340f9fa92cd69e903452a4590006,138462
0x0b988d78d6c3c30d1b4e017bde04502a40d58948,6266,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x0a3b67b88adf575654e071cf9c3e8065fc365967,5000,0x0a3b67b88adf575654e071cf9c3e8065fc365967,5000,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,1064.978,0x08d159f35449cc667628ac62334c5c694b38e40d,1242.341967,0x08d159f35449cc667628ac62334c5c694b38e40d,1242.341967,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,207.96822,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,808.96822,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,6266,,0x04335954a15db0ee70d91bc5791cf8990f5f29f4,2680.6822,,0xb490ac9d599c2d4fc24cc902ea4cd5af95eff6e9,130037.12
0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,6266,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,1E-06,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x0a3b67b88adf575654e071cf9c3e8065fc365967,5000,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,1064.978,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,1064.978,0x0788d7e71b2d9049ad662c52e0171fbc4df973bc,109.493,0x0788d7e71b2d9049ad662c52e0171fbc4df973bc,109.493,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,,0x0788d7e71b2d9049ad662c52e0171fbc4df973bc,218.986,,0x488ed54ca0ae6d64683286278be99e9c3a9c203e,125000
0x119b49a1c266c67656d098c320b697cc5ce94c43,2360.516565,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,1E-06,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,1E-06,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x0a3b67b88adf575654e071cf9c3e8065fc365967,5000,0x0a3b67b88adf575654e071cf9c3e8065fc365967,5000,0x08d159f35449cc667628ac62334c5c694b38e40d,3127.181967,0x08d159f35449cc667628ac62334c5c694b38e40d,3127.181967,0x119b49a1c266c67656d098c320b697cc5ce94c43,2360.516565,,0x08d159f35449cc667628ac62334c5c694b38e40d,14123.70427,,0xa14964479ebf9cd336011ad80652b08cd83dfe3a,106514.4169
0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x119b49a1c266c67656d098c320b697cc5ce94c43,2360.516565,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,1E-06,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x0ac0240f4656dc80684d0df1208bb91c0220725d,2681.07757,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,1474.978,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,1474.978,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,,0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,8038.59,,0x3c329470dd683617c986e4b28422e58b98d34e7a,90228.9489
0x15b458f7af474220ca05f34c22667dc70fde017e,8155.78316,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x119b49a1c266c67656d098c320b697cc5ce94c43,3940.407158,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,1E-06,0x0b8b851724bdb0577188d247eab8d418a0baec43,1283.648,0x0a1c6f1638adbe3873c7e8dad6c0e3b08285ba07,293,0x0a1c6f1638adbe3873c7e8dad6c0e3b08285ba07,293,0x15b458f7af474220ca05f34c22667dc70fde017e,8155.78316,,0x0a1c6f1638adbe3873c7e8dad6c0e3b08285ba07,586,,0x792035c909733246e49d419be308a38b3f8b3e8e,83003.48
